candidate,val_score,val_mse_mean,mse_mean,mae_mean,epochs_mean
baseline_regularized,282.1345977783203,142528.07421875,140975.875,287.82476806640625,32.0
strong_regularization,282.3568649291992,141740.4296875,139749.234375,286.8114013671875,38.5
deeper_slow,282.9281921386719,142528.98828125,139711.203125,286.4507598876953,49.5
medium_dropout,283.0764465332031,142828.9765625,140551.1796875,287.2107849121094,28.0
low_noise_mse_like,285.00189208984375,143323.203125,149648.75,297.7179260253906,34.5
small_fast,287.02374267578125,144916.77734375,136921.828125,284.3097381591797,33.5
