epoch,train_loss,val_loss,lr
1,0.37646567821502686,0.3442606031894684,0.0002
2,0.35996924340724945,0.33011725544929504,0.0002
3,0.3470362462103367,0.31352493166923523,0.0002
4,0.33235588669776917,0.29740163683891296,0.0002
5,0.3185417130589485,0.28298133611679077,0.0002
6,0.30520106479525566,0.2703127861022949,0.0002
7,0.2931174598634243,0.2599982023239136,0.0002
8,0.282602708786726,0.2518295645713806,0.0002
9,0.2756055220961571,0.2457820624113083,0.0002
10,0.2699345350265503,0.24128922820091248,0.0002
11,0.2645271047949791,0.23860394954681396,0.0002
12,0.2611103020608425,0.23557953536510468,0.0002
13,0.2593533806502819,0.2342178374528885,0.0002
14,0.25545861199498177,0.23292791843414307,0.0002
15,0.25467610731720924,0.23166120052337646,0.0002
16,0.2526911459863186,0.23073582351207733,0.0002
17,0.25182095542550087,0.22966262698173523,0.0002
18,0.25002250634133816,0.22902289032936096,0.0002
19,0.24877776764333248,0.22870373725891113,0.0002
20,0.2478657141327858,0.22879183292388916,0.0002
21,0.24650046601891518,0.22769619524478912,0.0002
22,0.24533716961741447,0.22731001675128937,0.0002
23,0.2438273597508669,0.22727806866168976,0.0002
24,0.24315720051527023,0.2280384600162506,0.0002
25,0.24303918331861496,0.2268863171339035,0.0002
26,0.2417384684085846,0.22811241447925568,0.0002
27,0.2406160868704319,0.2266303151845932,0.0002
28,0.24042913876473904,0.22760944068431854,0.0002
29,0.23970380052924156,0.22641608119010925,0.0002
30,0.2397280801087618,0.22708649933338165,0.0002
31,0.23802787251770496,0.227213516831398,0.0002
32,0.23694251663982868,0.22904188930988312,0.0002
33,0.23743129521608353,0.22840671241283417,0.0002
34,0.23732989840209484,0.22657564282417297,0.0001
35,0.23625913634896278,0.22817273437976837,0.0001
36,0.23607035167515278,0.22806979715824127,0.0001
37,0.23562217876315117,0.2280188351869583,0.0001
38,0.23550785146653652,0.22765755653381348,0.0001
39,0.2350903283804655,0.2282547950744629,5e-05
