epoch,train_loss,val_loss,lr
1,0.510209321975708,0.4644216001033783,0.0004
2,0.4869442656636238,0.44423893094062805,0.0004
3,0.46453141048550606,0.4203205704689026,0.0004
4,0.44311508536338806,0.39845532178878784,0.0004
5,0.4239168129861355,0.3810432553291321,0.0004
6,0.40739312022924423,0.3661743998527527,0.0004
7,0.3960370123386383,0.3579527735710144,0.0004
8,0.38804367557168007,0.3498617112636566,0.0004
9,0.38157374411821365,0.34754276275634766,0.0004
10,0.37774210050702095,0.345726877450943,0.0004
11,0.3729243017733097,0.34293797612190247,0.0004
12,0.3695850297808647,0.34230589866638184,0.0004
13,0.36882413551211357,0.3421581983566284,0.0004
14,0.36661074310541153,0.3423137068748474,0.0004
15,0.3646591305732727,0.3424154222011566,0.0004
16,0.36291204765439034,0.3396877944469452,0.0004
17,0.36187876388430595,0.3409616947174072,0.0004
18,0.3601529225707054,0.34329089522361755,0.0004
19,0.3586055487394333,0.34491902589797974,0.0004
20,0.3567672111093998,0.3400145173072815,0.0004
21,0.35591768100857735,0.34151190519332886,0.0004
22,0.35595668479800224,0.34394487738609314,0.0002
23,0.3540036119520664,0.34533217549324036,0.0002
24,0.35291188955307007,0.34357592463493347,0.0002
25,0.35228971391916275,0.34510794281959534,0.0002
26,0.35299181193113327,0.3459579646587372,0.0002
27,0.3523470535874367,0.349800705909729,0.0002
28,0.35187190398573875,0.3482895791530609,0.0001
29,0.3501375801861286,0.3473907709121704,0.0001
30,0.35084735229611397,0.34713974595069885,0.0001
31,0.35115833580493927,0.34753456711769104,0.0001
32,0.3500753901898861,0.34821513295173645,0.0001
33,0.3497615233063698,0.3481466472148895,0.0001
34,0.34837334230542183,0.34679746627807617,5e-05
