epoch,train_loss,val_loss,lr
1,0.3816748956839244,0.23200346529483795,0.0002
2,0.3246692741910617,0.18284869194030762,0.0002
3,0.2961997265617053,0.14839231967926025,0.0002
4,0.2752155251801014,0.12562982738018036,0.0002
5,0.2622494933505853,0.11436516791582108,0.0002
6,0.27205247431993484,0.10814201831817627,0.0002
7,0.2530263215303421,0.10593099147081375,0.0002
8,0.2558339188496272,0.10401882976293564,0.0002
9,0.24879031628370285,0.1032630056142807,0.0002
10,0.25374432529012364,0.10631035268306732,0.0002
11,0.23291281734903654,0.10320090502500534,0.0002
12,0.2462905334929625,0.10049530118703842,0.0002
13,0.24561197559038797,0.10535769909620285,0.0002
14,0.2317705936729908,0.10103721171617508,0.0002
15,0.23988012472788492,0.09924857318401337,0.0002
16,0.23967319851120314,0.10592620074748993,0.0002
17,0.2439037449657917,0.10259977728128433,0.0002
18,0.2384484770397345,0.09902610629796982,0.0002
19,0.23003616308172545,0.1097390204668045,0.0002
20,0.23851183553536734,0.09801202267408371,0.0002
21,0.22462318961819014,0.10529901087284088,0.0002
22,0.22324525440732637,0.10500389337539673,0.0002
23,0.22748243932922682,0.10303576290607452,0.0002
24,0.22570279985666275,0.10726843774318695,0.0002
25,0.23347424467404684,0.10108920186758041,0.0001
26,0.23565474400917688,0.1042870581150055,0.0001
27,0.2247572677830855,0.1079908087849617,0.0001
28,0.21777139914532503,0.10325359553098679,0.0001
29,0.23404465367396673,0.10412965714931488,0.0001
30,0.22617451225717863,0.10583387315273285,5e-05
