candidate,val_score,val_mse_mean,mse_mean,mae_mean,epochs_mean
lr_0004,280.7326126098633,141518.9609375,143034.609375,291.2969970703125,29.0
baseline_regularized,282.1345977783203,142528.07421875,140975.875,287.82476806640625,32.0
wd_0015,282.13463592529297,142527.83984375,140974.609375,287.82354736328125,32.0
wd_0007,282.1346435546875,142528.21875,140976.421875,287.8252868652344,32.0
dropout_035,282.6987991333008,141874.83984375,140987.1171875,287.6422119140625,38.5
lr_00025,282.9004211425781,142462.66796875,140171.9375,287.5490264892578,38.5
dropout_025,283.8930358886719,143184.9375,141281.2421875,288.24278259277344,34.5
