epoch,train_loss,val_loss,lr
1,0.5174286117156347,0.3458878695964813,0.0005
2,0.4585093210140864,0.28403574228286743,0.0005
3,0.43711428592602414,0.24225987493991852,0.0005
4,0.4054826373855273,0.21840853989124298,0.0005
5,0.39202092339595157,0.2060409039258957,0.0005
6,0.3782416755954425,0.20097115635871887,0.0005
7,0.3784676318367322,0.19704245030879974,0.0005
8,0.35784895966450375,0.19100438058376312,0.0005
9,0.3772157703836759,0.19095784425735474,0.0005
10,0.3646552562713623,0.1963702142238617,0.0005
11,0.3648841579755147,0.18290002644062042,0.0005
12,0.3609716519713402,0.20535783469676971,0.0005
13,0.352242611348629,0.21306173503398895,0.0005
14,0.3608313004175822,0.18186095356941223,0.0005
15,0.3458949625492096,0.20520460605621338,0.0005
16,0.35643580307563144,0.18823903799057007,0.0005
17,0.34820254892110825,0.201518252491951,0.0005
18,0.34325234840313595,0.18693532049655914,0.0005
19,0.33876679340998334,0.18964152038097382,0.00025
20,0.3532996301849683,0.19222308695316315,0.00025
21,0.34218473732471466,0.1935335099697113,0.00025
22,0.3466050972541173,0.19141019880771637,0.00025
23,0.34344293425480527,0.18843932449817657,0.00025
24,0.3407689680655797,0.18650086224079132,0.000125
