epoch,train_loss,val_loss,lr
1,0.4946849967042605,0.3154979944229126,0.0004
2,0.4284984270731608,0.26034894585609436,0.0004
3,0.4152827238043149,0.2252977341413498,0.0004
4,0.39851439495881397,0.20332738757133484,0.0004
5,0.37071406344572705,0.20134469866752625,0.0004
6,0.37334830562273663,0.1944240778684616,0.0004
7,0.3699008325735728,0.19577354192733765,0.0004
8,0.36875852197408676,0.19080081582069397,0.0004
9,0.3689093788464864,0.17721650004386902,0.0004
10,0.3588401700059573,0.17081218957901,0.0004
11,0.35260188827912015,0.1898380070924759,0.0004
12,0.3536580726504326,0.17148593068122864,0.0004
13,0.34420543412367505,0.18242239952087402,0.0004
14,0.3513635918498039,0.17885474860668182,0.0004
15,0.35302354395389557,0.17879225313663483,0.0004
16,0.3379780712227027,0.17716151475906372,0.0002
17,0.33383868386348087,0.18454509973526,0.0002
18,0.3396064241727193,0.18290233612060547,0.0002
19,0.33754707376162213,0.194671168923378,0.0002
20,0.33547606815894443,0.18433469533920288,0.0002
21,0.3413795034090678,0.18646661937236786,0.0002
22,0.3376573324203491,0.1855703592300415,0.0001
23,0.3272627592086792,0.1819922775030136,0.0001
24,0.3415512293577194,0.18427534401416779,0.0001
25,0.3338288863499959,0.18367575109004974,0.0001
26,0.3391603057583173,0.18139344453811646,0.0001
27,0.33529450247685116,0.18702015280723572,0.0001
28,0.33921846250693005,0.18566535413265228,5e-05
