candidate,val_score,mse_mean,mae_mean,epochs_mean
low_noise_mse_like,0.16221405193209648,149648.75,297.7179260253906,34.5
strong_regularization,0.25173626840114594,139749.234375,286.8114013671875,38.5
baseline_regularized,0.25181832909584045,140975.875,287.82476806640625,32.0
deeper_slow,0.252686582505703,139711.203125,286.4507598876953,49.5
medium_dropout,0.2529975324869156,140551.1796875,287.2107849121094,28.0
small_fast,0.2578718811273575,136921.828125,284.3097381591797,33.5
