epoch,train_loss,val_loss,lr
1,0.4848419527212779,0.32038599252700806,0.0004
2,0.4268990581234296,0.2581535875797272,0.0004
3,0.39851026485363644,0.2285497486591339,0.0004
4,0.39039649566014606,0.20638732612133026,0.0004
5,0.3779298961162567,0.2008032351732254,0.0004
6,0.35620200758179027,0.19630375504493713,0.0004
7,0.3587069399654865,0.18121567368507385,0.0004
8,0.36503834277391434,0.20931518077850342,0.0004
9,0.34994158272941905,0.19741171598434448,0.0004
10,0.36399537324905396,0.18660449981689453,0.0004
11,0.36280878136555356,0.1939321607351303,0.0004
12,0.3472234904766083,0.1885070949792862,0.0004
13,0.33921869844198227,0.1870577037334442,0.0004
14,0.3445103218158086,0.19425472617149353,0.0002
15,0.34920623153448105,0.18324048817157745,0.0002
16,0.3411143297950427,0.19555449485778809,0.0002
17,0.3389914035797119,0.1812027394771576,0.0002
18,0.3494736775755882,0.18929901719093323,0.0002
19,0.35000712672869366,0.1899377703666687,0.0002
20,0.345198633770148,0.18229079246520996,0.0002
21,0.34084393332401913,0.18304239213466644,0.0001
22,0.3441804572939873,0.18434645235538483,0.0001
23,0.34421011805534363,0.17945615947246552,0.0001
24,0.3271803992489974,0.18496841192245483,0.0001
25,0.34180642664432526,0.1845497488975525,0.0001
26,0.3389321317275365,0.18728438019752502,0.0001
27,0.3459353471795718,0.18433085083961487,0.0001
28,0.3474227214852969,0.18333837389945984,0.0001
29,0.3362122227748235,0.1852782666683197,0.0001
30,0.34233668198188144,0.18091203272342682,5e-05
31,0.34115374584992725,0.18622921407222748,5e-05
32,0.3350110625227292,0.18941816687583923,5e-05
33,0.3283591978251934,0.1832534670829773,5e-05
34,0.3300214931368828,0.18018925189971924,5e-05
35,0.3446296602487564,0.18278758227825165,5e-05
36,0.3288329889376958,0.18624621629714966,5e-05
37,0.3418090169628461,0.18490497767925262,2.5e-05
38,0.3302442381779353,0.18297383189201355,2.5e-05
39,0.344566710293293,0.1853993833065033,2.5e-05
40,0.33911534150441486,0.18572457134723663,2.5e-05
41,0.34161880364020664,0.18441861867904663,2.5e-05
42,0.33325886726379395,0.18408504128456116,2.5e-05
43,0.3380461061994235,0.18404147028923035,2.5e-05
44,0.3308180371920268,0.18326924741268158,1.25e-05
45,0.34138943006594974,0.18441924452781677,1.25e-05
46,0.3387695203224818,0.1847570687532425,1.25e-05
47,0.33368369936943054,0.1845705211162567,1.25e-05
