epoch,train_loss,val_loss,lr
1,0.5182069465517998,0.47701194882392883,0.0002
2,0.5043385177850723,0.46477213501930237,0.0002
3,0.49437209591269493,0.4528723955154419,0.0002
4,0.4833321198821068,0.4396398067474365,0.0002
5,0.47246236354112625,0.42718636989593506,0.0002
6,0.45839259028434753,0.4145875871181488,0.0002
7,0.44669975340366364,0.40213534235954285,0.0002
8,0.4350895956158638,0.39218375086784363,0.0002
9,0.4265378527343273,0.3834133446216583,0.0002
10,0.4189213551580906,0.3751688599586487,0.0002
11,0.41129356250166893,0.36775925755500793,0.0002
12,0.40482211858034134,0.3621355891227722,0.0002
13,0.40052253752946854,0.35794180631637573,0.0002
14,0.3964664153754711,0.3528047502040863,0.0002
15,0.39231840521097183,0.3495866656303406,0.0002
16,0.38983703032135963,0.3468925952911377,0.0002
17,0.38699931651353836,0.3447222113609314,0.0002
18,0.3841380961239338,0.3430185616016388,0.0002
19,0.38265006616711617,0.34114745259284973,0.0002
20,0.3809829652309418,0.33985191583633423,0.0002
21,0.37821660563349724,0.3391646146774292,0.0002
22,0.3775429390370846,0.33763420581817627,0.0002
23,0.37489820271730423,0.3369888365268707,0.0002
24,0.37406741455197334,0.3362281918525696,0.0002
25,0.3731722719967365,0.33568045496940613,0.0002
26,0.3723136968910694,0.3351556658744812,0.0002
27,0.37222447618842125,0.3346589207649231,0.0002
28,0.3702148571610451,0.335046648979187,0.0002
29,0.3683362118899822,0.33449089527130127,0.0002
30,0.36862965300679207,0.33391305804252625,0.0002
31,0.3685835003852844,0.33408287167549133,0.0002
32,0.3664143979549408,0.3329206705093384,0.0002
33,0.3665931969881058,0.33267030119895935,0.0002
34,0.36543070897459984,0.33238905668258667,0.0002
35,0.3657310791313648,0.3330022990703583,0.0002
36,0.364921934902668,0.33178234100341797,0.0002
37,0.3638181500136852,0.33187219500541687,0.0002
38,0.36363719776272774,0.3317154049873352,0.0002
39,0.36346907168626785,0.33229711651802063,0.0002
40,0.3614121787250042,0.3315173089504242,0.0002
41,0.3614566884934902,0.3310144543647766,0.0002
42,0.36168478056788445,0.33145320415496826,0.0002
43,0.36106567457318306,0.33104372024536133,0.0002
44,0.36026717349886894,0.33116790652275085,0.0002
45,0.36055513098835945,0.33131974935531616,0.0002
46,0.36000756546854973,0.33171939849853516,0.0001
47,0.3590897135436535,0.331315815448761,0.0001
48,0.3578895516693592,0.33125585317611694,0.0001
49,0.3580736927688122,0.3308298885822296,0.0001
50,0.35894207283854485,0.3310590386390686,0.0001
51,0.35827112570405006,0.331108421087265,0.0001
52,0.35742008313536644,0.33166393637657166,0.0001
53,0.35787390172481537,0.3311423063278198,0.0001
54,0.35746607929468155,0.33126842975616455,5e-05
55,0.35640833154320717,0.33051612973213196,5e-05
56,0.3574480973184109,0.3309295177459717,5e-05
57,0.3571428619325161,0.3305315375328064,5e-05
58,0.35717564821243286,0.33032333850860596,5e-05
59,0.3569357879459858,0.3307167589664459,5e-05
60,0.35736383870244026,0.33128228783607483,5e-05
