epoch,train_loss,val_loss,lr
1,0.4975752184788386,0.36539360880851746,0.0003
2,0.4779211034377416,0.3030858337879181,0.0003
3,0.4416529859105746,0.2630534768104553,0.0003
4,0.4138929819067319,0.2304733842611313,0.0003
5,0.39753567924102146,0.21466779708862305,0.0003
6,0.37377259880304337,0.1936168074607849,0.0003
7,0.3785533582170804,0.18660084903240204,0.0003
8,0.35988716781139374,0.18557889759540558,0.0003
9,0.36344045648972195,0.18316003680229187,0.0003
10,0.3696816911300023,0.18014466762542725,0.0003
11,0.35687504212061566,0.1869751363992691,0.0003
12,0.3611202339331309,0.18443532288074493,0.0003
13,0.35903723289569217,0.18575653433799744,0.0003
14,0.36693430691957474,0.18026481568813324,0.0003
15,0.35884272555510205,0.18159127235412598,0.00015
16,0.3550652662913005,0.17949147522449493,0.00015
17,0.3565559263030688,0.1817208230495453,0.00015
18,0.350648432970047,0.17728953063488007,0.00015
19,0.35003384451071423,0.18187154829502106,0.00015
20,0.359776072204113,0.17788289487361908,0.00015
21,0.34883339951435727,0.18328788876533508,0.00015
22,0.34802284588416416,0.18175145983695984,0.00015
23,0.35095611959695816,0.17968307435512543,7.5e-05
24,0.355745608607928,0.17866742610931396,7.5e-05
25,0.3463970869779587,0.17709387838840485,7.5e-05
26,0.33508337537447613,0.18003088235855103,7.5e-05
27,0.3544712041815122,0.18422934412956238,7.5e-05
28,0.34859561671813327,0.17807771265506744,7.5e-05
29,0.35194871326287586,0.17808659374713898,7.5e-05
30,0.35236505667368573,0.17890654504299164,3.75e-05
31,0.33035267268617946,0.18121829628944397,3.75e-05
32,0.3459845135609309,0.18225422501564026,3.75e-05
33,0.35112062096595764,0.18024444580078125,3.75e-05
34,0.3473657766977946,0.17781327664852142,3.75e-05
35,0.3370382860302925,0.17874881625175476,1.875e-05
